name,latitude,longitude,capacity,type,status,suitability,barangay,operator
Sta. Clara Academy,14.621822,121.094403,,school,POTENTIAL,School - commonly used as evacuation center,,
Tambi Plaza,14.644166,121.091289,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Tañong Gymnasium,14.633819,121.084654,,sports_complex,POTENTIAL,Sports facility - large covered space,,
Tañong Multipurpose Hall,14.632764,121.086609,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
Tañong Multipurpose Hall,14.632729,121.086428,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
The Children's House School,14.649931,121.118161,,school,POTENTIAL,School - commonly used as evacuation center,,
VVEV Phase 8 Basketball Court,14.61341,121.110521,,covered_court,POTENTIAL,Covered court - protected space,,
Valeriano E. Fugoso Memorial Elementary School,14.666541,121.11854,,school,POTENTIAL,School - commonly used as evacuation center,,"Sampaloc V District of Manila Schools Division, DepEd"
Valeriano E. Fugoso Memorial High School,14.665787,121.11763,,school,POTENTIAL,School - commonly used as evacuation center,Parang,"Sampaloc V District of Manila Schools Division, DepEd"
Victoria School,14.651408,121.113434,,school,POTENTIAL,School - commonly used as evacuation center,,
Yamaha School of Music,14.677062,121.08579,,school,POTENTIAL,School - commonly used as evacuation center,,
Ynares Multi-Purpose Building,14.674643,121.114283,,community_centre,POTENTIAL,Community centre - suitable for shelter,,
